21Q1,Disc,List,Prem,Total Sales,% Prem,Avg Close Price (000s)
28th/Baseline,3,,,3,0%,418
30th/Colorado,3,,,3,0%,640
44th Industrial Park,,,1,1,100%,395
Acres Green,1,1,9,11,82%,497
Adams City,,3,10,13,77%,330
Adonea,1,11,12,24,50%,440
Alkire Estates,3,2,8,13,62%,773
Alton Park,14,5,30,49,61%,296
Antelope Meadows,,1,4,5,80%,358
Anthem Highlands,12,3,15,30,50%,743
Anthem Ranch,9,4,9,22,41%,713
Apache Mesa,3,7,10,20,50%,360
Apple Meadows,,1,7,8,88%,490
Applewood Glen,3,,8,11,73%,809
Applewood Glen 2,1,1,1,3,33%,785
Applewood View,,,4,4,100%,880
Applewood Village,,1,4,5,80%,587
Applewood West,4,1,10,15,67%,748
Arapahoe Ridge,,,1,1,100%,907
Araphoe Airport Ctr,5,5,5,15,33%,320
Arrowhead,1,,2,3,67%,533
Arrowwood,,,1,1,100%,675
Aspen Creek,7,3,3,13,23%,905
Athmar Park,5,7,14,26,54%,433
Auburn Hills,,,6,6,100%,594
Aur Hts East,2,,4,6,67%,311
Aur Hts West,4,2,9,15,60%,315
Auraria,,1,,1,0%,770
Aurora Highland,8,14,26,48,54%,375
Aurora Hills,4,4,17,25,68%,366
Aurora Knolls,3,,15,18,83%,454
Aurora North,2,1,5,8,63%,355
Aurora NW,12,7,29,48,60%,361
Autumn Chase,,1,2,3,67%,267
Avery Park Neighborhood Association,,,2,2,100%,435
Baker North,8,5,10,23,43%,529
Banning Lewis Ranch,1,,3,4,75%,453
Barnum,5,5,19,29,66%,376
Barnum West,4,9,9,22,41%,422
Barr Lake,2,,,2,0%,674
Baxter Farm,1,,,1,0%,1680
Beacon Point,1,3,5,9,56%,664
Bear Creek (J),2,1,,3,0%,1012
Bear Dance,1,,,1,0%,1375
Bear Mountain Vista,1,,,1,0%,860
Bear Valley,4,6,13,23,57%,332
Belcaro,23,7,11,41,27%,1530
Bell Cross Ranch,,,1,1,100%,1440
Bell Mountain Ranch,1,3,1,5,20%,1104
